company,period,fy,E,sigma_E,D,r,T,V,sigma_V,d1,d2,dd_risk_neutral,pd_risk_neutral,mu_physical,dd_physical,pd_physical,converged,residual_norm,solver_message
HPCL,FY2022_leverage_only,2022,79474,0.34990000000000004,48498,0.0682,1.0,124774.69418423004,0.22286568010184193,4.657611076072132,4.43474539597029,4.43474539597029,4.609058249192911e-06,0.1382,4.748835927845868,1.0229541668465715e-06,True,1.0913936421275139e-11,The solution converged.
HPCL,FY2023_leverage_only,2023,79474,0.34990000000000004,70671,0.0736,1.0,145130.34356930922,0.19160892913857155,4.235470389784787,4.043861460646215,4.043861460646215,2.6288997395771557e-05,0.1436,4.40918890292515,5.187924562424017e-06,True,1.914005615685296e-10,The solution converged.
HPCL,FY2024_leverage_only,2024,79474,0.34990000000000004,66684,0.0707,1.0,141606.1874167062,0.19637699515376064,4.293103650544903,4.096726655391142,4.096726655391142,2.0951660010334068e-05,0.1407,4.453183886775046,4.230311754657009e-06,True,1.0186340659856796e-10,The solution converged.
HPCL,FY2025_leverage_only,2025,79474,0.34990000000000004,70558,0.0668,1.0,145472.62863546115,0.1911581415843569,4.230129011457825,4.038970869873467,4.038970869873467,2.684311564125518e-05,0.1368,4.405159824316245,5.285295644423806e-06,True,1.0550138540565968e-10,The solution converged.
GAIL,FY2021_leverage_only,2021,114998,0.2551,7873,0.0635,1.0,122386.60674125413,0.23969934767471096,11.83137824107368,11.591678893398969,11.591678893398969,2.2707119089769706e-31,0.1335,11.883711394442713,7.191809234226696e-33,True,0.0,The solution converged.
GAIL,FY2022_leverage_only,2022,114998,0.2551,9216,0.0682,1.0,123606.42266777411,0.23733386313467264,11.344883737972452,11.10754987483778,11.10754987483778,5.763960555686712e-29,0.1382,11.40249303665822,2.0315717792788915e-30,True,0.0,The solution converged.
GAIL,FY2023_leverage_only,2023,114998,0.2551,17816,0.0736,1.0,131549.83430722906,0.2230028639297792,9.406847605819454,9.183844741889676,9.183844741889676,2.0798408463146348e-20,0.1436,9.497742055881314,1.0724527144470203e-21,True,0.0,The solution converged.
GAIL,FY2024_leverage_only,2024,114998,0.2551,21794,0.0707,1.0,135304.37147477583,0.21681479674490023,8.855929108467516,8.639114311722615,8.639114311722615,2.832523592822274e-18,0.1407,8.961970505353904,1.5946358636923417e-19,True,0.0,The solution converged.
GAIL,FY2025_leverage_only,2025,114998,0.2551,21595,0.0668,1.0,135197.57988488,0.21698605718371167,8.86977235432602,8.652786297142308,8.652786297142308,2.512853969986993e-18,0.1368,8.975387670283691,1.4117784725691883e-19,True,1.4999770885397668e-11,The solution converged.
OIL,FY2021_leverage_only,2021,76207,0.3094,19718,0.0635,1.0,94711.8326843295,0.2489493142727101,6.683267647396155,6.4343183331234455,6.4343183331234455,6.201433970223564e-11,0.1335,6.715500067664473,9.371117019398423e-12,True,0.0,The solution converged.
OIL,FY2022_leverage_only,2022,76207,0.3094,16721,0.0682,1.0,91825.64533721989,0.2567740821579366,7.027160430576385,6.770386348418448,6.770386348418448,6.421947284537331e-12,0.1382,7.042999532006597,9.407243052663986e-13,True,0.0,The solution converged.
OIL,FY2023_leverage_only,2023,76207,0.3094,18832,0.0736,1.0,93702.74223582198,0.2516302643607563,6.795004582366277,6.543374318005521,6.543374318005521,3.00730169164968e-11,0.1436,6.8215602515530165,4.5028491472556335e-12,True,0.0,The solution converged.
OIL,FY2024_leverage_only,2024,76207,0.3094,24040,0.0707,1.0,98606.06259717939,0.2391176078031724,6.3178210333319935,6.078703425528821,6.078703425528821,6.057910389525192e-10,0.1407,6.371446401017351,9.36268673410607e-11,True,0.0,The solution converged.
OIL,FY2025_leverage_only,2025,76207,0.3094,30645,0.0668,1.0,104871.78932155488,0.22483115812619972,5.881496003037963,5.656664844911763,5.656664844911763,7.717136833170033e-09,0.1368,5.968009591713754,1.2008262712017936e-09,True,0.0,The solution converged.
RELIANCE,FY2021_leverage_only,2021,1772762,0.2082,278962,0.0635,1.0,2034560.6172683518,0.18140970844876939,11.393625780447044,11.212216071998274,11.212216071998274,1.7759373526192326e-29,0.1335,11.598082961915956,2.107062072939866e-31,True,0.0,The solution converged.
RELIANCE,FY2022_leverage_only,2022,1772762,0.2082,319158,0.0682,1.0,2070879.0748482477,0.1782281992622126,10.964173153154622,10.78594495389241,10.78594495389241,2.0054979707400085e-27,0.1382,11.178699861868642,2.592196165262222e-29,True,0.0,The solution converged.
RELIANCE,FY2023_leverage_only,2023,1772762,0.2082,451664,0.0736,1.0,2192377.3845161824,0.16835105625825053,9.905339077069522,9.736988020811271,9.736988020811271,1.0483850618384948e-22,0.1436,10.152785827821283,1.6101848499083604e-24,True,0.0,The solution converged.
RELIANCE,FY2024_leverage_only,2024,1772762,0.2082,350719,0.0707,1.0,2099541.402462233,0.17579507980511913,10.66947291224675,10.49367783244163,10.49367783244163,4.618084259481131e-26,0.1407,10.891868726507607,6.301367424525528e-28,True,0.0,The solution converged.
RELIANCE,FY2025_leverage_only,2025,1772762,0.2082,374313,0.0668,1.0,2122887.739543834,0.17386178342115718,10.452867561736065,10.279005778314907,10.279005778314907,4.381341651950551e-25,0.1368,10.681624448286987,6.204056675024137e-27,True,0.0,The solution converged.
