company,driver,shock,dd,converged,base_dd,dd_change_from_base
IOC,Risk-Free Rate,0.0,5.478063862792949,True,5.478063862792949,0.0
IOC,Risk-Free Rate,0.01,5.4915938527783865,True,5.478063862792949,0.013529989985437751
IOC,Risk-Free Rate,0.02,5.505201843171538,True,5.478063862792949,0.02713798037858961
IOC,Time Horizon,1.0,5.478063862792949,True,5.478063862792949,0.0
IOC,Time Horizon,2.0,3.8824179864268786,True,5.478063862792949,-1.5956458763660701
IOC,Time Horizon,3.0,3.1758397414737116,True,5.478063862792949,-2.302224121319237
BPCL,Equity Volatility,-0.5,11.706660389038117,True,5.774773958573233,5.931886430464884
BPCL,Equity Volatility,-0.25,7.760797909892425,True,5.774773958573233,1.9860239513191917
BPCL,Equity Volatility,-0.1,6.438527640810072,True,5.774773958573233,0.6637536822368393
BPCL,Equity Volatility,0.0,5.774773958573233,True,5.774773958573233,0.0
BPCL,Equity Volatility,0.1,5.229798243586485,True,5.774773958573233,-0.544975714986748
BPCL,Equity Volatility,0.25,4.572681903704004,True,5.774773958573233,-1.2020920548692287
BPCL,Equity Volatility,0.5,3.762459097013479,True,5.774773958573233,-2.012314861559754
BPCL,Debt,-0.5,7.08209221105847,True,5.774773958573233,1.3073182524852367
BPCL,Debt,-0.25,6.275495159642549,True,5.774773958573233,0.5007212010693163
BPCL,Debt,-0.1,5.951088230927721,True,5.774773958573233,0.17631427235448793
BPCL,Debt,0.0,5.774773958573233,True,5.774773958573233,0.0
BPCL,Debt,0.1,5.622370176991696,True,5.774773958573233,-0.1524037815815369
BPCL,Debt,0.25,5.4285506108723105,True,5.774773958573233,-0.34622334770092245
BPCL,Debt,0.5,5.17300064138564,True,5.774773958573233,-0.6017733171875932
BPCL,Equity Value,-0.5,4.818654209526151,True,5.774773958573233,-0.9561197490470823
BPCL,Equity Value,-0.25,5.33529522018102,True,5.774773958573233,-0.4394787383922125
BPCL,Equity Value,-0.1,5.606692648487692,True,5.774773958573233,-0.16808131008554117
BPCL,Equity Value,0.0,5.774773958573233,True,5.774773958573233,0.0
BPCL,Equity Value,0.1,5.933915358118148,True,5.774773958573233,0.15914139954491535
BPCL,Equity Value,0.25,6.157881728007763,True,5.774773958573233,0.3831077694345302
BPCL,Equity Value,0.5,6.497894631740832,True,5.774773958573233,0.7231206731675988
BPCL,Risk-Free Rate,-0.02,5.7422341649827375,True,5.774773958573233,-0.032539793590495414
BPCL,Risk-Free Rate,-0.01,5.758466955464102,True,5.774773958573233,-0.016307003109131024
BPCL,Risk-Free Rate,0.0,5.774773958573233,True,5.774773958573233,0.0
BPCL,Risk-Free Rate,0.01,5.791155152497385,True,5.774773958573233,0.01638119392415227
BPCL,Risk-Free Rate,0.02,5.807610512631598,True,5.774773958573233,0.03283655405836505
BPCL,Time Horizon,1.0,5.774773958573233,True,5.774773958573233,0.0
BPCL,Time Horizon,2.0,4.087173370334107,True,5.774773958573233,-1.6876005882391256
BPCL,Time Horizon,3.0,3.339534231450422,True,5.774773958573233,-2.435239727122811
HPCL,Equity Volatility,-0.5,8.222971342250982,True,4.039722277451631,4.183249064799352
HPCL,Equity Volatility,-0.25,5.442142244777504,True,4.039722277451631,1.4024199673258728
HPCL,Equity Volatility,-0.1,4.508817920195618,True,4.039722277451631,0.4690956427439872
HPCL,Equity Volatility,0.0,4.039722277451631,True,4.039722277451631,0.0
HPCL,Equity Volatility,0.1,3.654030755174934,True,4.039722277451631,-0.385691522276697
HPCL,Equity Volatility,0.25,3.187597393388619,True,4.039722277451631,-0.852124884063012
